Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60766189,"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,"Shannon, Samantha",,"=""1635577926""","=""9781635577921""",0,4.38,Bloomsbury Publishing,Hardcover,868,2023,2023,,2024/02/15,"to-read, fantasy","to-read (#62), fantasy (#39)",to-read,,,,0,0
124929243,Un destino de ira y fuego (Destino y Fuego #1),K.A. Tucker,"Tucker, K.A.",Ana H. Deza,"=""8419621080""","=""9788419621085""",0,4.13,TBR,Paperback,640,2023,2021,,2024/02/15,"to-read, fantasy","to-read (#61), fantasy (#38)",to-read,,,,0,0
60018635,The Very Secret Society of Irregular Witches,Sangu Mandanna,"Mandanna, Sangu",,"=""059343935X""","=""9780593439357""",0,4.12,Berkley,Paperback,318,2022,2022,,2024/02/10,"to-read, fantasy","to-read (#58), fantasy (#37)",to-read,,,,0,0
59414094,How to Sell a Haunted House,Grady Hendrix,"Hendrix, Grady",,"=""0593201264""","=""9780593201268""",0,3.70,Berkley,Hardcover,419,2023,2023,,2024/02/10,"to-read, thriller","to-read (#57), thriller (#20)",to-read,,,,0,0
53285047,Bunny,Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",0,3.52,Penguin Books,Paperback,305,2020,2019,,2024/02/10,"to-read, thriller","to-read (#56), thriller (#19)",to-read,,,,0,0
55829194,The Final Girl Support Group,Grady Hendrix,"Hendrix, Grady",,"=""059320123X""","=""9780593201237""",0,3.52,Berkley,Hardcover,352,2021,2021,,2024/02/10,"to-read, thriller","to-read (#55), thriller (#18)",to-read,,,,0,0
41015038,My Best Friend's Exorcism,Grady Hendrix,"Hendrix, Grady",,"=""""","=""""",0,3.94,Quirk Books,Kindle Edition,337,2016,2016,,2024/02/10,"to-read, thriller","to-read (#54), thriller (#17)",to-read,,,,0,0
10603,Cujo,Stephen King,"King, Stephen",,"=""0307348245""","=""9780307348241""",0,3.78,Debolsillo,Mass Market Paperback,432,2006,1981,,2024/02/10,"to-read, thriller","to-read (#53), thriller (#16)",to-read,,,,0,0
10614,Misery,Stephen King,"King, Stephen",,"=""0450417395""","=""9780450417399""",0,4.21,New English Library,Paperback,370,1988,1987,,2024/02/10,"to-read, thriller","to-read (#52), thriller (#15)",to-read,,,,0,0
11590,’Salem’s Lot,Stephen King,"King, Stephen",,"=""0450031063""","=""9780450031069""",0,4.06,New English Library,Paperback,483,1991,1975,,2024/02/10,"to-read, thriller","to-read (#51), thriller (#14)",to-read,,,,0,0
61631750,"La sombra de los dioses (Hermanos de sangre, #1)",John Gwynne,"Gwynne, John",Simón Saitó,"=""8445014226""","=""""",0,4.24,Minotauro,Kindle Edition,646,2022,2021,,2024/02/08,"to-read, fantasy","to-read (#46), fantasy (#36)",to-read,,,,0,0
53921926,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""""","=""""",0,4.05,CLA,Kindle Edition,356,2020,2018,,2024/02/08,"to-read, fantasy","to-read (#45), fantasy (#35)",to-read,,,,0,0
52439531,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""1368052401""","=""9781368052405""",0,4.16,"Little, Brown Books for Young Readers",Hardcover,386,2020,2020,,2024/01/31,"to-read, thriller","to-read (#44), thriller (#13)",to-read,,,,0,0
60879779,"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin   Stevenson,"Stevenson, Benjamin",,"=""0063279029""","=""9780063279025""",0,3.80,Mariner Books,Hardcover,371,2023,2022,,2024/01/31,"to-read, thriller","to-read (#42), thriller (#12)",to-read,,,,0,0
36337550,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",0,3.82,Sourcebooks Landmark,Hardcover,432,2018,2018,,2024/01/31,"to-read, thriller","to-read (#41), thriller (#11)",to-read,,,,0,0
60714999,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.33,Independently Published,Kindle Edition,504,2022,2022,,2024/01/31,"to-read, fantasy","to-read (#40), fantasy (#34)",to-read,,,,0,0
